Gene	TPM	Tissue	Source
BRCA1	1.19645	adipose_subcutaneous	GTEx.v10
BRCA1	2.16725	adipose_subcutaneous	GTEx.v10
BRCA1	1.1561	adipose_subcutaneous	GTEx.v10
BRCA1	1.07574	adipose_subcutaneous	GTEx.v10
BRCA1	1.16281	adipose_subcutaneous	GTEx.v10
BRCA1	0.725343	adipose_subcutaneous	GTEx.v10
BRCA1	1.31499	adipose_subcutaneous	GTEx.v10
BRCA1	1.04053	adipose_subcutaneous	GTEx.v10
BRCA1	2.0444	adipose_subcutaneous	GTEx.v10
BRCA1	1.43898	adipose_subcutaneous	GTEx.v10
BRCA1	0.76823	adipose_subcutaneous	GTEx.v10
BRCA1	0.605951	adipose_subcutaneous	GTEx.v10
BRCA1	1.51575	adipose_subcutaneous	GTEx.v10
BRCA1	0.784215	adipose_subcutaneous	GTEx.v10
BRCA1	0.518713	adipose_subcutaneous	GTEx.v10
BRCA1	1.96034	adipose_subcutaneous	GTEx.v10
BRCA1	0.89984	adipose_subcutaneous	GTEx.v10
BRCA1	1.33179	adipose_subcutaneous	GTEx.v10
BRCA1	1.09779	adipose_subcutaneous	GTEx.v10
BRCA1	1.12423	adipose_subcutaneous	GTEx.v10
BRCA1	2.01159	adipose_subcutaneous	GTEx.v10
BRCA1	3.44847	adipose_subcutaneous	GTEx.v10
BRCA1	1.58796	adipose_subcutaneous	GTEx.v10
BRCA1	1.49562	adipose_subcutaneous	GTEx.v10
BRCA1	0.911781	adipose_subcutaneous	GTEx.v10
BRCA1	1.67934	adipose_subcutaneous	GTEx.v10
BRCA1	1.44429	adipose_subcutaneous	GTEx.v10
BRCA1	1.0462	adipose_subcutaneous	GTEx.v10
BRCA1	2.19008	adipose_subcutaneous	GTEx.v10
BRCA1	2.3337	adipose_subcutaneous	GTEx.v10
BRCA1	1.12088	adipose_subcutaneous	GTEx.v10
BRCA1	0.851527	adipose_subcutaneous	GTEx.v10
BRCA1	2.51407	adipose_subcutaneous	GTEx.v10
BRCA1	2.2253	adipose_subcutaneous	GTEx.v10
BRCA1	1.00245	adipose_subcutaneous	GTEx.v10
BRCA1	1.83758	adipose_subcutaneous	GTEx.v10
BRCA1	1.4673	adipose_subcutaneous	GTEx.v10
BRCA1	1.07143	adipose_subcutaneous	GTEx.v10
BRCA1	0.891474	adipose_subcutaneous	GTEx.v10
BRCA1	1.99189	adipose_subcutaneous	GTEx.v10
BRCA1	1.16986	adipose_subcutaneous	GTEx.v10
BRCA1	1.05519	adipose_subcutaneous	GTEx.v10
